Player,POS,Team,FantasyPoints,VOR,VOR Rank
Daniel Jones,QB,NYG,251.272,-52.386,167
Xavier Jones,RB,LAR,87.45,-54.28,168
Tre'Quan Smith,WR,NO,139.4,-54.38,169
Sam Darnold,QB,CAR,248.808,-54.85,170
A.J. Green,WR,ARI,138.88,-54.9,171
Rashaad Penny,RB,SEA,85.8,-55.93,172
Damien Williams,RB,CHI,85.64,-56.09,173
Gabriel Davis,WR,BUF,135.54,-58.24,174
Hayden Hurst,TE,ATL,96.21,-59.11,175
Randall Cobb,WR,GB,134.01,-59.77,176
Rondale Moore,WR,ARI,133.88,-59.9,177
Jamison Crowder,WR,NYJ,133.29,-60.49,178
Dawson Knox,TE,BUF,91.61,-63.71,179
C.J. Uzomah,TE,CIN,91.4,-63.92,180
Zach Wilson,QB,NYJ,239.486,-64.172,181
Chris Herndon IV,TE,NYJ,90.88,-64.44,182
Jared Goff,QB,DET,237.214,-66.444,183
Boston Scott,RB,PHI,75.16,-66.57,184
Ty Johnson,RB,NYJ,74.93,-66.8,185
Jakobi Meyers,WR,NE,125.98,-67.8,186
Justin Jackson,RB,LAC,72.77,-68.96,187
Sony Michel,RB,NE,72.28,-69.45,188
Parris Campbell,WR,IND,124.17,-69.61,189
Darrynton Evans,RB,TEN,72.02,-69.71,190
Christian Kirk,WR,ARI,123.77,-70.01,191
Jack Doyle,TE,IND,84.05,-71.27,192
John Brown,WR,LV,121.97,-71.81,193
Malcolm Brown,RB,MIA,69.62,-72.11,194
Trey Lance,QB,SF,230.39,-73.268,195
Terrace Marshall Jr.,WR,CAR,120.12,-73.66,196
Darius Slayton,WR,NYG,119.42,-74.36,197
Rashod Bateman,WR,BAL,119.3,-74.48,198
Salvon Ahmed,RB,MIA,66.58,-75.15,199
Qadree Ollison,RB,ATL,66.47,-75.26,200
Will Dissly,TE,SEA,79.73,-75.59,201
Allen Lazard,WR,GB,117.9,-75.88,202
Mo Alie-Cox,TE,IND,78.75,-76.57,203
Rex Burkhead,RB,HOU,65.11,-76.62,204
Kyle Juszczyk,RB,SF,64.88,-76.85,205
Joshua Kelley,RB,LAC,64.35,-77.38,206
Devontae Booker,RB,NYG,64.33,-77.4,207
Justin Fields,QB,CHI,225.73,-77.928,208
DeeJay Dallas,RB,SEA,63.64,-78.09,209
Donald Parham Jr.,TE,LAC,76.72,-78.6,210.5
Cordarrelle Patterson,RB,ATL,63.13,-78.6,210.5
DeSean Jackson,WR,LAR,114.5,-79.28,212
Marlon Mack,RB,IND,61.98,-79.75,213
Jeff Wilson Jr.,RB,SF,60.79,-80.94,214
O.J. Howard,TE,TB,74.19,-81.13,215
Dan Arnold,TE,CAR,73.81,-81.51,216
Mark Ingram II,RB,HOU,60.03,-81.7,217
Kenneth Gainwell,RB,PHI,59.64,-82.09,218
Marquez Callaway,WR,NO,110.11,-83.67,219
Hunter Renfrow,WR,LV,109.64,-84.14,220
Chuba Hubbard,RB,CAR,57.5,-84.23,221
Carson Wentz,QB,IND,218.996,-84.662,222
Rhamondre Stevenson,RB,NE,56.22,-85.51,223
Anthony Miller,WR,HOU,108.26,-85.52,224
Van Jefferson,WR,LAR,107,-86.78,225
Wayne Gallman,RB,SF,54.69,-87.04,226
Jacob Hollister,TE,BUF,68.1,-87.22,227
Trayveon Williams,RB,CIN,53.69,-88.04,228
Sammy Watkins,WR,BAL,102.88,-90.9,229
David Njoku,TE,CLE,64.28,-91.04,230
Tyler Conklin,TE,MIN,63.91,-91.41,231
Jake Funk,RB,LAR,49.42,-92.31,232
Jimmy Graham,TE,CHI,62.87,-92.45,233
Josh Reynolds,WR,TEN,100.9,-92.88,234
Brian Hill,RB,TEN,48.72,-93.01,235
Keelan Cole Sr.,WR,NYJ,99.19,-94.59,236
Samaje Perine,RB,CIN,46.78,-94.95,237
Dalton Schultz,TE,DAL,59.57,-95.75,238
Chris Conley,WR,HOU,98.01,-95.77,239
Amon-Ra St. Brown,WR,DET,97.6,-96.18,240
Nick Boyle,TE,BAL,57.49,-97.83,241
Javian Hawkins,RB,ATL,43.87,-97.86,242
Jalen Richard,RB,LV,43.76,-97.97,243
Mike Boone,RB,DEN,43.74,-97.99,244
Maxx Williams,TE,ARI,56.89,-98.43,245
Benny Snell Jr.,RB,PIT,43.15,-98.58,246
Denzel Mims,WR,NYJ,95.15,-98.63,247
James Washington,WR,PIT,94.72,-99.06,248
Geronimo Allison,WR,DET,94.64,-99.14,249
Matt Breida,RB,BUF,42.35,-99.38,250
Geoff Swaim,TE,TEN,55.46,-99.86,251
Peyton Barber,RB,WAS,41.84,-99.89,252
Kyle Rudolph,TE,NYG,54.92,-100.4,253
Drew Sample,TE,CIN,54.83,-100.49,254
Demarcus Robinson,WR,KC,93.28,-100.5,255
Cameron Brate,TE,TB,53.41,-101.91,256
D'Wayne Eskridge,WR,SEA,91.29,-102.49,257
Carlos Hyde,RB,JAC,39.12,-102.61,258
James O'Shaughnessy,TE,JAC,51.85,-103.47,259
Marquez Valdes-Scantling,WR,GB,89.59,-104.19,260
Brandon Bolden,RB,NE,37.06,-104.67,261
Rashard Higgins,WR,CLE,88.21,-105.57,262
Jermar Jefferson,RB,DET,35.04,-106.69,263
Bryan Edwards,WR,LV,85.74,-108.04,264
Josh Palmer,WR,LAC,85.27,-108.51,265.5
Zach Pascal,WR,IND,85.27,-108.51,265.5
KJ Hamler,WR,DEN,85.14,-108.64,267
Darren Fells,TE,DET,46.65,-108.67,268
Nico Collins,WR,HOU,84.89,-108.89,269
Deshaun Watson,QB,HOU,194.76,-108.898,270
Harrison Bryant,TE,CLE,46.41,-108.91,271
Larry Rountree III,RB,LAC,32.76,-108.97,272
Jalen Guyton,WR,LAC,84.34,-109.44,273
Keke Coutee,WR,HOU,83.11,-110.67,274
Pat Freiermuth,TE,PIT,44.43,-110.89,275
Hunter Long,TE,MIA,42.97,-112.35,276
Jaylen Samuels,RB,PIT,29.25,-112.48,277
Mohamed Sanu,WR,SF,81.29,-112.49,278
Elijah Mitchell,RB,SF,29.06,-112.67,279
Kadarius Toney,WR,NYG,80.93,-112.85,280
Adam Shaheen,TE,MIA,42.04,-113.28,281
Foster Moreau,TE,LV,41.51,-113.81,282
La'Mical Perine,RB,NYJ,27.91,-113.82,283
Tim Patrick,WR,DEN,79.72,-114.06,284
Ian Thomas,TE,CAR,41.22,-114.1,285
Olamide Zaccheaus,WR,ATL,78.37,-115.41,286
Tyler Kroft,TE,NYJ,39.62,-115.7,287
Albert Okwuegbunam,TE,DEN,38.99,-116.33,288
Pharaoh Brown,TE,HOU,38.24,-117.08,289
Ryan Izzo,TE,HOU,38.2,-117.12,290
Jerick McKinnon,RB,KC,24.43,-117.3,291
Anthony McFarland Jr.,RB,PIT,24.19,-117.54,292
